Solution,Hayden Flood Elev,Carson Flood Elev,Carson Cons Elev,Max Channel Flow,Irrig Allocation,Carson2160,Hayden1870,AppleValleyVolRelNeg,City1000,BorderVolRelNeg
0001,1893.4000000000001,2157.9000000000001,2171.7000000000003,1240,0.35000000000000003,0.34999999999999998,0,-0.34999999999999998,0.02,-1
0002,1893.2,2163.5,2171.5,1089,0.78000000000000003,0,0.029999999999999999,-0.77000000000000002,0.02,-0.97999999999999998
0003,1893.2,2161.7000000000003,2172.0999999999999,1093,0.70999999999999996,0.059999999999999998,0.02,-0.69999999999999996,0.02,-0.98999999999999999
0004,1869.5,2164,2172.5999999999999,1796,1,0,0.089999999999999997,-0.93999999999999995,0.02,-0.93000000000000005
0005,1896.1000000000001,2158.7000000000003,2169.3000000000002,1727,0.91000000000000003,0.34999999999999998,0.01,-0.90000000000000002,0.02,-1
0006,1893.8000000000002,2149.5,2175,1333,1,0.44,0,-1,0.02,-1
0007,1900,2164,2172.5999999999999,1796,1,0,0.01,-0.98999999999999999,0.029999999999999999,-1
0008,1896.1000000000001,2161.0999999999999,2170.7000000000003,1285,0.95999999999999996,0.14000000000000001,0.01,-0.94999999999999996,0.02,-0.98999999999999999
0009,1896.4000000000001,2158.4000000000001,2169.3000000000002,1734,0.90000000000000002,0.35999999999999999,0,-0.89000000000000001,0.02,-1
0010,1893.4000000000001,2158.3000000000002,2171.5999999999999,1288,0.22,0.34000000000000002,0,-0.22,0.02,-1
0011,1850.5,2163.5999999999999,2173.5999999999999,1725,0.79000000000000004,0,0,-0.78000000000000003,0.040000000000000001,-1
0012,1895,2158.3000000000002,2171.4000000000001,845,0.98999999999999999,0.37,0.01,-0.97999999999999998,0.02,-1
0013,1893.2,2159.8000000000002,2171.5999999999999,1266,0.32000000000000001,0.28999999999999998,0.01,-0.32000000000000001,0.02,-1
0014,1898.5,2162.5,2171.2000000000003,732,0.83999999999999997,0.029999999999999999,0,-0.83999999999999997,0.040000000000000001,-1
0015,1893.8000000000002,2161.2000000000003,2170.2000000000003,1349,1,0.14000000000000001,0.02,-0.98999999999999999,0.02,-0.98999999999999999
0016,1891.8000000000002,2167.3000000000002,2168,1888,1,0,0.059999999999999998,-0.93000000000000005,0.02,-0.96999999999999997
0017,1894.6000000000001,2163.5999999999999,2168.2000000000003,1159,1,0.01,0.029999999999999999,-0.98999999999999999,0.02,-0.97999999999999998
0018,1892.2,2159,2173.8000000000002,1101,0.38,0.32000000000000001,0.01,-0.38,0.02,-1
0019,1859.1000000000001,2164.4000000000001,2172.2000000000003,1889,1,0,0.089999999999999997,-0.94999999999999996,0.02,-0.92000000000000004
0020,1895,2158.4000000000001,2175,845,0.97999999999999998,0.35999999999999999,0.01,-0.96999999999999997,0.02,-1
0021,1896.5,2158.2000000000003,2175,824,0.98999999999999999,0.39000000000000001,0,-0.98999999999999999,0.02,-1
0022,1899.8000000000002,2161.8000000000002,2170,1799,1,0.070000000000000007,0,-1,0.029999999999999999,-1
0023,1898.6000000000001,2162,2171,1775,0.95999999999999996,0.059999999999999998,0,-0.95999999999999996,0.029999999999999999,-1
